i:497, rate:2000, w: 0, P99: 689.8011555962136
i:498, rate:800, w: 6, P99: 782.9223840973154
i:499, rate:600, w: 6, P99: 704.3400371793184
i:500, rate:4800, w: 6, P99: 1197.529295190428
i:501, rate:2400, w: 6, P99: 1007.39683451505
i:502, rate:2800, w: 6, P99: 1055.3793103390071
i:503, rate:800, w: 6, P99: 777.9496316356422
i:504, rate:400, w: 0, P99: 136.74024119181186
i:505, rate:2800, w: 6, P99: 1059.017936119204
i:506, rate:800, w: 6, P99: 771.0502520506801
i:507, rate:800, w: 6, P99: 787.4155294383045
i:508, rate:2000, w: 0, P99: 725.8983584205109
i:509, rate:4800, w: 6, P99: 1199.0955233363313
i:510, rate:3200, w: 6, P99: 1094.5230109986192
i:511, rate:800, w: 6, P99: 773.1633135172868
i:512, rate:4200, w: 6, P99: 1169.2610975056107
